(7,1)
(3,2)
(7,1)
(4,1)
(2,2)
(1,4)
(4,1)
(2,3)
(1,4)
(1,3)
(6,1)
(1,4)
(1,2)
(1,3)
(5,1)
(1,6)
(2,3)
(1,4)
(2,2)
(1,2)
(2,1)
(1,4)
(3,1)
(1,3)
(1,4)
(1,3)
(1,3)
(2,3)
(3,2)
(1,4)
(2,2)
(2,3)
(1,4)
(6,1)
(1,2)
(2,2)
(5,1)
(6,1)
(1,3)
(1,4)
(2,3)
(1,3)
(6,1)
(2,3)
(1,4)
(3,2)
(1,4)
(3,1)
(3,2)
(1,4)
(4,1)
(3,2)
(1,2)
(1,3)
(4,1)
(1,4)
(2,2)
(3,1)
(1,2)
(1,4)
(7,1)
(1,4)
(4,20)
(2,2)
(1,4)
(5,48)
(1,4)
(1,1)
(1,2)
(1,3)
(1,1)
(1,4)
(1,4)
(1,4)
(1,2)
(5,1)
(2,2)
(1,4)
(1,1)
(2,3)
(1,4)
(1,4)
(3,2)
(6,51)
(2,3)
(1,4)
(1,4)
(3,2)
(3,2)
(1,2)
(1,4)
(6,1)
(1,3)
(2,1)
(3,1)
(1,4)
(2,3)
(1,4)
(1,4)
(1,4)
capacity=16
